ip,asn,company,hostname,observations,sample_count,path_count,last_hop_count,last_internal_count,edge_count,primary_class,confidence,source_type,evidence
10.45.0.1,AS private,Private / local network,,30,15,15,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
100.65.77.1,AS private,Private / local network,,30,15,15,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.128.113,AS private,Private / local network,,30,15,15,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.128.181,AS private,Private / local network,,30,15,15,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.128.221,AS private,Private / local network,,30,15,15,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.133.150,AS private,Private / local network,,30,15,15,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.128.182,AS private,Private / local network,,24,12,12,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.128.42,AS private,Private / local network,,22,11,11,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.130.122,AS private,Private / local network,,22,11,11,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.134.242,AS private,Private / local network,,22,11,11,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
172.16.135.209,AS private,Private / local network,,22,11,11,0,0,0,internal_brisanet,medium,observed,asn=AS private | company=Private / local network
187.19.161.199,AS28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A,,22,11,11,0,22,22,edge_brisanet_candidate,high,observed,asn=AS28126 | company=BRISANET SERVICOS DE TELECOMUNICACOES S.A | edge_count=22 | last_internal_count=22
104.21.4.50,AS13335,"Cloudflare, Inc.",,10,6,6,10,0,0,cdn_candidate,high,observed,"asn=AS13335 | company=Cloudflare, Inc."
172.67.131.172,AS13335,"Cloudflare, Inc.",,10,5,5,10,0,0,cdn_candidate,high,observed,"asn=AS13335 | company=Cloudflare, Inc."
1.0.0.1,AS13335,"Cloudflare, Inc.",,2,2,2,2,0,0,dns_infra_candidate,high,observed,"known_dns_ip=1.0.0.1 | asn=AS13335 | company=Cloudflare, Inc."
108.170.226.233,AS15169,Google LLC,,2,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS15169 | company=Google LLC
12.122.153.181,AS7018,"AT&T Enterprises, LLC",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS7018 | company=AT&T Enterprises, LLC"
12.123.154.54,AS7018,"AT&T Enterprises, LLC",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS7018 | company=AT&T Enterprises, LLC"
12.252.89.6,AS7018,"AT&T Enterprises, LLC",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS7018 | company=AT&T Enterprises, LLC"
138.204.238.149,AS52320,"GlobeNet Cabos Submarinos Colombia, S.A.S.",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS52320 | company=GlobeNet Cabos Submarinos Colombia, S.A.S."
142.250.166.72,AS15169,Google LLC,,2,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS15169 | company=Google LLC
143.166.30.172,AS3614,"Dell, Inc.",,2,1,1,2,0,0,destination,medium,observed,last_hop_count=2 | asn=AS3614
159.148.147.244,AS51894,AS_MIKROTIKLS,,2,1,1,2,0,0,destination,medium,observed,last_hop_count=2 | asn=AS51894
172.16.128.178,AS private,Private / local network,,2,1,1,0,0,0,internal_brisanet,low,observed,asn=AS private | company=Private / local network
172.16.128.62,AS private,Private / local network,,2,1,1,0,0,0,internal_brisanet,low,observed,asn=AS private | company=Private / local network
187.16.223.64,AS???,Unknown ASN,,2,1,1,0,0,0,unknown,low,inferred,asn=AS??? | company=Unknown ASN
192.178.110.171,AS15169,Google LLC,,2,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS15169 | company=Google LLC
192.205.32.109,AS7018,"AT&T Enterprises, LLC",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS7018 | company=AT&T Enterprises, LLC"
200.16.69.2,AS52320,"GlobeNet Cabos Submarinos Colombia, S.A.S.",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS52320 | company=GlobeNet Cabos Submarinos Colombia, S.A.S."
200.25.56.83,AS7195,EDGEUNO S.A.S,,2,1,1,0,0,0,unknown,low,inferred,asn=AS7195 | company=EDGEUNO S.A.S
213.248.84.33,AS1299,"TWELVE99 Arelion, fka Telia Carrier",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS1299 | company=TWELVE99 Arelion, fka Telia Carrier"
32.130.89.4,AS7018,"AT&T Enterprises, LLC",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS7018 | company=AT&T Enterprises, LLC"
62.115.142.191,AS1299,"TWELVE99 Arelion, fka Telia Carrier",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS1299 | company=TWELVE99 Arelion, fka Telia Carrier"
62.115.50.180,AS1299,"TWELVE99 Arelion, fka Telia Carrier",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS1299 | company=TWELVE99 Arelion, fka Telia Carrier"
8.8.8.8,AS15169,Google LLC,,2,1,1,2,0,0,dns_infra_candidate,high,observed,known_dns_ip=8.8.8.8 | asn=AS15169 | company=Google LLC
80.91.254.90,AS1299,"TWELVE99 Arelion, fka Telia Carrier",,2,1,1,0,0,0,unknown,low,inferred,"asn=AS1299 | company=TWELVE99 Arelion, fka Telia Carrier"
84.16.6.34,AS12956,TELXIUS TELXIUS Cable,,2,1,1,0,0,0,unknown,low,inferred,asn=AS12956 | company=TELXIUS TELXIUS Cable
9.9.9.9,AS19281,Quad9,,2,1,1,2,0,0,destination,medium,observed,last_hop_count=2 | asn=AS19281
94.142.98.175,AS12956,TELXIUS TELXIUS Cable,,2,1,1,0,0,0,unknown,low,inferred,asn=AS12956 | company=TELXIUS TELXIUS Cable
