ip,asn,company,hostname,observations,sample_count,path_count,last_hop_count,last_internal_count,edge_count,primary_class,confidence,source_type,evidence
2.16.186.23,AS20940,AKAMAI-ASN1,,2,2,2,0,0,0,cdn_candidate,medium,observed,asn=AS20940 | company=AKAMAI-ASN1
104.44.119.171,AS8075,Microsoft Corporation,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS8075 | company=Microsoft Corporation
104.44.28.204,AS8075,Microsoft Corporation,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS8075 | company=Microsoft Corporation
104.44.31.214,AS8075,Microsoft Corporation,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS8075 | company=Microsoft Corporation
104.44.32.88,AS8075,Microsoft Corporation,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS8075 | company=Microsoft Corporation
104.44.34.213,AS8075,Microsoft Corporation,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS8075 | company=Microsoft Corporation
129.134.60.178,AS32934,"Facebook, Inc.",,1,1,1,0,0,0,unknown,low,inferred,"asn=AS32934 | company=Facebook, Inc."
147.75.214.158,AS???,Unknown ASN,,1,1,1,0,0,0,unknown,low,inferred,asn=AS??? | company=Unknown ASN
163.77.194.43,AS???,Unknown ASN,,1,1,1,0,0,0,unknown,low,inferred,asn=AS??? | company=Unknown ASN
177.37.221.191,AS28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A,,1,1,1,0,1,0,edge_brisanet_candidate,medium,observed,asn=AS28126 | company=BRISANET SERVICOS DE TELECOMUNICACOES S.A | last_internal_count=1
2.16.186.11,AS20940,AKAMAI-ASN1,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS20940 | company=AKAMAI-ASN1
2.16.186.20,AS20940,AKAMAI-ASN1,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS20940 | company=AKAMAI-ASN1
2.16.186.24,AS20940,AKAMAI-ASN1,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS20940 | company=AKAMAI-ASN1
2.16.186.7,AS20940,AKAMAI-ASN1,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS20940 | company=AKAMAI-ASN1
2.16.186.9,AS20940,AKAMAI-ASN1,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS20940 | company=AKAMAI-ASN1
23.194.180.67,AS16625,"Akamai Technologies, Inc.",,1,1,1,1,0,0,cdn_candidate,high,observed,"asn=AS16625 | company=Akamai Technologies, Inc."
23.194.181.154,AS16625,"Akamai Technologies, Inc.",,1,1,1,1,0,0,cdn_candidate,high,observed,"asn=AS16625 | company=Akamai Technologies, Inc."
23.194.182.92,AS16625,"Akamai Technologies, Inc.",,1,1,1,1,0,0,cdn_candidate,high,observed,"asn=AS16625 | company=Akamai Technologies, Inc."
3.174.37.212,AS16509,"Amazon.com, Inc.",,1,1,1,1,0,0,cdn_candidate,high,observed,"asn=AS16509 | company=Amazon.com, Inc."
51.10.3.50,AS8075,Unknown ASN,,1,1,1,0,0,0,cdn_candidate,medium,observed,asn=AS8075 | company=Unknown ASN
52.97.4.226,AS8075,Microsoft Corporation,,1,1,1,1,0,0,cdn_candidate,high,observed,asn=AS8075 | company=Microsoft Corporation
57.144.128.34,AS32934,"Facebook, Inc.",,1,1,1,1,0,0,destination,low,observed,last_hop_count=1 | asn=AS32934
